,country,year,sex,age,suicides_no,population
0,Albania,1985,female,15-24 years,,277900.0
1,Albania,1985,female,25-34 years,,246800.0
2,Albania,1985,female,35-54 years,,267500.0
3,Albania,1985,female,5-14 years,,298300.0
4,Albania,1985,female,55-74 years,,138700.0
5,Albania,1985,female,75+ years,,34200.0
6,Albania,1985,male,15-24 years,,301400.0
7,Albania,1985,male,25-34 years,,264200.0
8,Albania,1985,male,35-54 years,,296700.0
9,Albania,1985,male,5-14 years,,325800.0
10,Albania,1985,male,55-74 years,,132500.0
11,Albania,1985,male,75+ years,,21100.0
12,Albania,1986,female,15-24 years,,283900.0
13,Albania,1986,female,25-34 years,,252100.0
14,Albania,1986,female,35-54 years,,273200.0
15,Albania,1986,female,5-14 years,,304700.0
16,Albania,1986,female,55-74 years,,141700.0
17,Albania,1986,female,75+ years,,34900.0
18,Albania,1986,male,15-24 years,,306700.0
19,Albania,1986,male,25-34 years,,269000.0
20,Albania,1986,male,35-54 years,,302000.0
21,Albania,1986,male,5-14 years,,331600.0
22,Albania,1986,male,55-74 years,,134800.0
23,Albania,1986,male,75+ years,,21400.0
24,Albania,1987,female,15-24 years,14.0,289700.0
25,Albania,1987,female,25-34 years,4.0,257200.0
26,Albania,1987,female,35-54 years,6.0,278800.0
27,Albania,1987,female,5-14 years,0.0,311000.0
28,Albania,1987,female,55-74 years,0.0,144600.0
29,Albania,1987,female,75+ years,1.0,35600.0
30,Albania,1987,male,15-24 years,21.0,312900.0
31,Albania,1987,male,25-34 years,9.0,274300.0
32,Albania,1987,male,35-54 years,16.0,308000.0
33,Albania,1987,male,5-14 years,0.0,338200.0
34,Albania,1987,male,55-74 years,1.0,137500.0
35,Albania,1987,male,75+ years,1.0,21800.0
36,Albania,1988,female,15-24 years,8.0,295600.0
37,Albania,1988,female,25-34 years,5.0,262400.0
38,Albania,1988,female,35-54 years,4.0,284500.0
39,Albania,1988,female,5-14 years,0.0,317200.0
40,Albania,1988,female,55-74 years,3.0,147500.0
41,Albania,1988,female,75+ years,2.0,36400.0
42,Albania,1988,male,15-24 years,17.0,319200.0
43,Albania,1988,male,25-34 years,5.0,279900.0
44,Albania,1988,male,35-54 years,14.0,314100.0
45,Albania,1988,male,5-14 years,0.0,345000.0
46,Albania,1988,male,55-74 years,4.0,140200.0
47,Albania,1988,male,75+ years,1.0,22300.0
48,Albania,1989,female,15-24 years,5.0,299900.0
49,Albania,1989,female,25-34 years,2.0,266300.0
50,Albania,1989,female,35-54 years,7.0,288600.0
51,Albania,1989,female,5-14 years,0.0,321900.0
52,Albania,1989,female,55-74 years,1.0,149600.0
53,Albania,1989,female,75+ years,0.0,37000.0
54,Albania,1989,male,15-24 years,12.0,323500.0
55,Albania,1989,male,25-34 years,18.0,283600.0
56,Albania,1989,male,35-54 years,15.0,318400.0
57,Albania,1989,male,5-14 years,0.0,349700.0
58,Albania,1989,male,55-74 years,6.0,142100.0
59,Albania,1989,male,75+ years,2.0,22500.0
60,Albania,1990,female,15-24 years,,305900.0
61,Albania,1990,female,25-34 years,,278000.0
62,Albania,1990,female,35-54 years,,308300.0
63,Albania,1990,female,5-14 years,,329600.0
64,Albania,1990,female,55-74 years,,156400.0
65,Albania,1990,female,75+ years,,37600.0
66,Albania,1990,male,15-24 years,,325600.0
67,Albania,1990,male,25-34 years,,295100.0
68,Albania,1990,male,35-54 years,,337700.0
69,Albania,1990,male,5-14 years,,355600.0
70,Albania,1990,male,55-74 years,,149700.0
71,Albania,1990,male,75+ years,,23200.0
72,Albania,1991,female,15-24 years,,301100.0
73,Albania,1991,female,25-34 years,,274700.0
74,Albania,1991,female,35-54 years,,316500.0
75,Albania,1991,female,5-14 years,,333300.0
76,Albania,1991,female,55-74 years,,160800.0
77,Albania,1991,female,75+ years,,38300.0
78,Albania,1991,male,15-24 years,,302200.0
79,Albania,1991,male,25-34 years,,276900.0
80,Albania,1991,male,35-54 years,,342600.0
81,Albania,1991,male,5-14 years,,359500.0
82,Albania,1991,male,55-74 years,,154800.0
83,Albania,1991,male,75+ years,,23600.0
84,Albania,1992,female,15-24 years,7.0,292400.0
85,Albania,1992,female,25-34 years,4.0,267400.0
